날짜,시가,고가,저가,종가,거래량
2021-11-03,180000,230000,173000,193000,11799881
2021-11-04,190000,191000,166000,169000,3487030
2021-11-05,167500,179000,167500,170000,1597937
2021-11-08,168500,169500,152000,153500,1394625
2021-11-09,153500,157500,146000,147000,892617
2021-11-10,148000,153500,147000,150500,615031
2021-11-11,148000,150000,140000,145500,768779
2021-11-12,146000,158000,146000,157500,705982
2021-11-15,157500,166000,155000,163000,472684
2021-11-16,163500,170000,160000,166500,497032
2021-11-17,170000,174000,167500,171000,575581
2021-11-18,171000,173500,165000,172500,274048
2021-11-19,172000,176500,169500,173500,302251
2021-11-22,172500,173000,166000,170000,216939
2021-11-23,167500,177000,167000,177000,388843
2021-11-24,178500,188000,177000,183000,694628
2021-11-25,185500,229500,183000,216500,2164946
2021-11-26,213000,243500,207000,222500,3201357
2021-11-29,221000,240000,216000,238500,1259486
2021-11-30,240500,248500,216500,218000,1395664
2021-12-01,221000,229500,203500,207500,1100138
2021-12-02,204000,214500,198000,208000,692763
2021-12-03,201000,206000,197000,204500,1076728
2021-12-06,200500,205000,194500,201500,582451
2021-12-07,201500,204000,193500,194500,507608
2021-12-08,195500,203000,190000,202000,726919
2021-12-09,199000,216000,199000,208500,1752401
2021-12-10,195000,200000,193500,196000,2217271
2021-12-13,192000,194500,187000,190000,662983
2021-12-14,188000,192500,175500,178500,598053
2021-12-15,177500,183000,177000,180000,369689
2021-12-16,182500,186000,182000,184500,297229
2021-12-17,182000,184000,173000,177000,502516
2021-12-20,175500,176000,171000,172500,246385
2021-12-21,173500,176000,170500,171000,161986
2021-12-22,172000,173500,166000,167500,255618
2021-12-23,168500,175500,165000,174500,385455
2021-12-24,174500,175500,169000,169000,230914
2021-12-27,169500,171500,168000,168500,152906
2021-12-28,170000,181500,169500,181500,514305
2021-12-29,179500,183500,176500,176500,248828
2021-12-30,176500,179000,172000,174500,363144
2022-01-03,174500,178000,173500,176500,238214
2022-01-04,175000,175500,168000,169000,320863
2022-01-05,168000,168000,156000,158000,613883
2022-01-06,154500,156500,151000,152000,368852
2022-01-07,152000,157500,152000,153500,237479
2022-01-10,152000,152500,145000,148500,323493
2022-01-11,149000,153000,146000,149500,308114
2022-01-12,152000,159500,151500,154500,396361
