날짜,시가,고가,저가,종가,거래량
2021-09-17,111000,135000,91000,111500,17373529
2021-09-23,112000,113000,99000,99100,2914293
2021-09-24,100000,102000,95500,99200,2262592
2021-09-27,98300,99400,96500,97000,672212
2021-09-28,98000,103000,97000,100000,1037427
2021-09-29,98300,108000,98000,107500,1435139
2021-09-30,107500,117000,106000,115500,1704373
2021-10-01,114500,119500,109000,113500,1203513
2021-10-05,111500,112500,104500,104500,706523
2021-10-06,107000,111500,105500,107000,797435
2021-10-07,109000,112000,107000,109500,474072
2021-10-08,109500,110000,103000,104500,423907
2021-10-12,104000,106000,100500,101000,292797
2021-10-13,101500,103000,99800,102000,252749
2021-10-14,103000,103000,100000,102000,248276
2021-10-15,104500,107000,103500,105000,292470
2021-10-18,103000,104000,100000,101500,659149
2021-10-19,102500,103000,100000,101500,332255
2021-10-20,101500,102500,100000,100500,269309
2021-10-21,100500,102500,100000,100500,239165
2021-10-22,101000,101500,100000,101000,169264
2021-10-25,100500,106500,100000,106000,516573
2021-10-26,106500,109500,104000,108500,388727
2021-10-27,108500,116500,108000,113500,771405
2021-10-28,114500,118000,111000,112000,569668
2021-10-29,113500,119000,113000,117000,693739
2021-11-01,116500,119000,113500,118500,385442
2021-11-02,118500,119000,113500,116000,368462
2021-11-03,116000,117500,112500,116500,281713
2021-11-04,117000,117000,112000,112500,292430
2021-11-05,112000,114500,108500,113500,330870
2021-11-08,114000,114000,110000,112000,176789
2021-11-09,113500,115500,108500,109500,335982
2021-11-10,109000,111500,106000,111000,255794
2021-11-11,110000,112000,109500,112000,164295
2021-11-12,112000,114000,111000,112000,169377
2021-11-15,112500,114000,111000,114000,180931
2021-11-16,114500,114500,111000,111500,145772
2021-11-17,111500,113000,108000,108500,179729
2021-11-18,108000,109500,105500,106000,175355
2021-11-19,106000,109500,105500,109000,122211
2021-11-22,108500,110500,107500,109000,137867
2021-11-23,110000,111500,108500,111000,147284
2021-11-24,111000,113500,110000,112500,123175
2021-11-25,113500,116000,112000,114000,248249
2021-11-26,114500,116500,111500,111500,171573
2021-11-29,107000,110000,107000,108500,177072
2021-11-30,109500,109500,106000,106500,184116
2021-12-01,106000,109000,103500,108000,142292
2021-12-02,106000,114000,106000,113500,213861
2021-12-03,113000,114500,111000,111000,180027
2021-12-06,109500,113500,108500,112500,162493
2021-12-07,113000,114500,109500,110000,188247
2021-12-08,111000,111000,107500,108000,213352
2021-12-09,108000,109500,107000,107000,393768
2021-12-10,106500,107500,105500,107500,224135
2021-12-13,107000,108000,105500,106000,199659
2021-12-14,105000,106000,101000,101000,325488
2021-12-15,100000,100500,98600,98900,297616
2021-12-16,98600,99500,95100,95700,448758
2021-12-17,90000,93400,89700,91500,1686560
2021-12-20,92100,93400,91600,91900,462510
2021-12-21,92200,94900,91300,94000,411144
2021-12-22,94500,95000,92100,92700,313539
2021-12-23,92700,92800,91500,92300,214082
2021-12-24,93000,93600,92200,92700,220253
2021-12-27,92700,93200,92300,92700,191739
2021-12-28,92800,93500,92400,92700,217210
2021-12-29,93500,95000,92800,93700,258296
2021-12-30,94400,95300,92900,95200,232685
2022-01-03,96000,97700,94900,97600,225810
2022-01-04,98100,102000,96400,101500,425113
2022-01-05,102000,105000,101500,104000,488265
2022-01-06,102500,112500,100500,111000,845951
2022-01-07,111500,114000,107000,112000,427073
2022-01-10,111000,116500,110500,111500,432107
2022-01-11,110500,111000,106000,107000,380355
2022-01-12,105000,110000,103500,108500,327291
2022-01-13,109000,110000,105000,105500,178574
2022-01-14,103500,110500,103500,106000,447722
2022-01-17,106000,106500,101500,102000,209131
2022-01-18,102500,105500,101500,103000,246352
2022-01-19,102000,106000,101000,102000,209795
2022-01-20,102500,104000,101500,103500,146791
2022-01-21,103000,107000,102000,105500,198031
2022-01-24,106000,106000,101000,101500,222116
2022-01-25,101500,102000,95700,97700,267898
2022-01-26,97800,99100,96500,96600,142126
2022-01-27,96600,96600,92700,93400,160754
2022-01-28,93700,99500,92900,99300,164368
2022-02-03,101500,103500,99300,102000,163952
2022-02-04,101500,103000,100500,102000,123018
2022-02-07,101500,104000,100000,101500,125054
2022-02-08,102500,103500,97800,98000,271060
2022-02-09,99100,104000,98300,103000,187002
2022-02-10,102500,103500,101000,101000,99003
2022-02-11,99900,101000,97500,97800,155249
2022-02-14,96000,96800,94800,95600,112913
2022-02-15,95300,98300,95000,96200,139493
2022-02-16,97600,99800,97600,98000,97403
2022-02-17,98700,100500,97200,98300,145013
2022-02-18,97600,100500,96900,99200,120957
2022-02-21,98400,100500,97600,99900,128539
2022-02-22,98600,103500,98500,102000,236189
2022-02-23,103000,110000,103000,109500,491171
2022-02-24,108500,111500,104500,105500,398595
2022-02-25,109000,113500,106500,109500,274441
2022-02-28,109500,111500,108000,109500,159563
2022-03-02,109500,118500,109500,116500,483682
2022-03-03,117000,117500,111500,113000,374950
2022-03-04,112000,114500,111000,114000,231862
2022-03-07,112000,117000,112000,116500,246331
2022-03-08,114500,116000,113000,113500,196809
2022-03-10,115000,116000,110000,112000,306188
2022-03-11,112000,114000,111000,112000,175659
2022-03-14,110500,114000,110000,113500,146595
2022-03-15,113500,113500,108500,109500,217330
2022-03-16,110000,112000,109000,110000,179441
2022-03-17,108000,110000,107000,108000,758132
2022-03-18,109500,111000,107000,108500,862650
2022-03-21,109500,109500,107500,108500,137399
2022-03-22,109000,114000,108500,114000,286203
2022-03-23,113000,118000,112500,115500,258178
2022-03-24,115500,117500,114500,117000,179791
2022-03-25,118000,119000,117000,117500,172617
2022-03-28,118000,123000,117500,122500,335257
2022-03-29,122500,124000,120500,123000,203796
2022-03-30,123000,123500,117000,117500,312495
2022-03-31,118000,121000,118000,119500,132482
2022-04-01,118000,119500,115500,119000,128991
2022-04-04,117000,122000,116500,121000,129247
2022-04-05,121500,127000,120000,126500,290232
2022-04-06,125000,128500,124500,127000,186145
2022-04-07,125500,127000,120500,121500,211250
2022-04-08,121500,126500,120500,124000,143765
2022-04-11,123500,128000,122500,127500,113957
2022-04-12,125500,130000,125000,129500,198383
2022-04-13,130000,137000,128500,136500,383827
2022-04-14,135000,141500,135000,139000,314096
2022-04-15,139500,149500,138000,148000,488027
2022-04-18,148000,151000,141000,142500,266352
2022-04-19,143000,153500,142500,153500,361662
2022-04-20,155500,161500,148000,149000,542107
2022-04-21,148500,148500,139500,145500,598407
2022-04-22,143000,144500,136500,140000,480103
2022-04-25,137000,142500,136000,139500,238248
2022-04-26,141500,142500,136000,140500,260290
2022-04-27,137000,145500,137000,144000,312795
2022-04-28,145000,145000,139500,144000,273272
2022-04-29,142500,145500,139000,140000,190100
2022-05-02,138000,144500,136500,140000,190759
2022-05-03,141000,142000,137000,137500,205450
2022-05-04,137000,138500,131000,133500,390969
2022-05-06,132500,136500,131500,133500,237157
2022-05-09,133500,134500,129500,131500,194911
2022-05-10,129500,131500,127000,130500,217957
2022-05-11,130500,133000,123500,125000,460960
2022-05-12,124500,130000,123000,124000,369250
2022-05-13,126500,129000,119000,125500,573256
2022-05-16,126000,130000,123500,127000,240162
2022-05-17,121000,124500,119500,121500,2331766
2022-05-18,123000,124000,115500,117000,569257
2022-05-19,114000,115500,111000,114500,557796
2022-05-20,115000,116000,113500,115000,262589
2022-05-23,115500,118000,113000,115000,253045
2022-05-24,115500,119000,112500,113000,418146
2022-05-25,114000,115500,112000,113000,254408
2022-05-26,114000,121000,114000,119000,539957
2022-05-27,121500,124500,120000,123000,469362
2022-05-30,123000,125000,119000,119500,356189
2022-05-31,120000,121500,119000,119000,1869378
2022-06-02,120500,122500,118000,119500,261139
2022-06-03,120500,127000,119500,126500,368158
2022-06-07,126500,131500,126500,129500,280645
