날짜,시가,고가,저가,종가,거래량
2021-12-30,467000,469000,456500,460000,113558
2022-01-03,463000,468500,458000,460000,96581
2022-01-04,459500,459500,442000,444000,232605
2022-01-05,442000,442500,413000,417000,454908
2022-01-06,410000,413000,400000,402000,372826
2022-01-07,402500,405500,393500,394500,339356
2022-01-10,393000,393500,373000,381500,438835
2022-01-11,380500,384500,364000,365000,391852
2022-01-12,369500,374000,364500,367500,368318
2022-01-13,364000,365000,345000,346500,570811
2022-01-14,338500,354000,333500,343500,462339
2022-01-17,351500,354500,338000,341000,298123
2022-01-18,339000,343000,334000,340500,251142
2022-01-19,341000,342500,323000,324500,415623
2022-01-20,323500,328500,316500,325000,297605
2022-01-21,320000,322500,306000,310000,706631
2022-01-24,308500,313500,299000,302000,442843
2022-01-25,303500,308000,290000,291000,465805
2022-01-26,294000,294500,276500,276500,808612
2022-01-27,279000,282500,264000,264000,717325
2022-01-28,267500,284500,257500,274500,783003
2022-02-03,279000,286500,275500,275500,364038
2022-02-04,274500,297000,274500,288500,485012
2022-02-07,290000,306000,283500,305000,534422
2022-02-08,304500,314500,296500,299500,420619
2022-02-09,304000,306500,295000,297000,185777
2022-02-10,300000,306500,292500,297000,312108
2022-02-11,268500,270000,255500,259000,1242240
2022-02-14,252000,268500,248500,267500,548562
2022-02-15,268000,289500,266000,281000,689509
2022-02-16,286000,288000,277000,277500,296947
2022-02-17,277500,280500,269000,273000,319221
2022-02-18,266500,276500,265000,274000,215275
2022-02-21,269500,279500,266500,273500,179499
2022-02-22,268500,280000,268000,273500,238940
2022-02-23,277500,296500,275500,286000,475696
2022-02-24,282000,287000,280000,285500,245896
2022-02-25,290000,293000,283000,284000,210160
2022-02-28,283000,295000,279000,295000,197803
2022-03-02,299000,306500,295000,298000,264742
2022-03-03,300000,302500,298000,298500,121273
2022-03-04,296500,297500,282000,282500,238713
2022-03-07,277500,278000,268500,271000,176042
2022-03-08,266500,281000,266500,273500,159115
2022-03-10,281500,295000,280000,295000,292969
2022-03-11,292000,293000,284500,285000,231836
2022-03-14,285000,292000,281000,281000,169976
2022-03-15,278500,282500,274000,277500,114644
2022-03-16,280500,286500,278500,281500,140323
2022-03-17,287500,292000,284000,284000,198288
2022-03-18,285000,291000,277500,286000,288541
2022-03-21,287500,291000,276000,276000,283001
2022-03-22,276000,281000,275500,279000,89046
2022-03-23,282000,286500,279500,283000,179359
2022-03-24,280000,283500,276500,280500,140646
2022-03-25,281000,282000,278000,278500,128623
2022-03-28,278500,279000,270500,271500,192699
2022-03-29,273000,275500,271000,273000,173269
2022-03-30,274500,276500,271000,272500,147316
2022-03-31,272500,281500,272000,275500,187476
2022-04-01,276500,278000,272000,278000,125727
2022-04-04,275500,299500,275500,298500,507532
2022-04-05,300500,301000,290500,293500,241079
2022-04-06,289000,296500,286000,287000,172907
2022-04-07,283000,288500,283000,284000,134315
2022-04-08,285500,287500,272000,280000,243269
2022-04-11,276500,282500,275000,281500,96798
2022-04-12,277000,279500,267000,267000,759269
2022-04-13,266500,269000,263000,267500,144215
2022-04-14,268500,271000,264000,266500,125573
2022-04-15,265000,266500,263500,264500,113682
2022-04-18,263500,264500,260500,261000,94033
2022-04-19,261500,264500,260500,261500,56824
2022-04-20,262000,263000,258000,258000,127262
2022-04-21,259000,260500,257000,258000,64119
2022-04-22,257000,258000,247000,250000,286187
2022-04-25,246500,249000,242000,242500,162783
2022-04-26,244500,253000,244000,248500,170318
2022-04-27,240000,242500,236000,238500,234396
2022-04-28,239500,242500,233000,240500,174851
2022-04-29,241000,253000,239000,252000,184533
2022-05-02,248000,252500,246000,251500,106610
2022-05-03,251000,259500,250500,256500,119305
2022-05-04,256500,261500,254000,258000,143846
2022-05-06,253500,258500,250000,256500,108855
2022-05-09,252000,256500,246500,251500,145967
2022-05-10,246000,247000,241500,245000,123155
2022-05-11,242500,259500,239500,257000,214893
2022-05-12,253500,265000,242000,252000,673602
2022-05-13,259000,263500,246500,253500,576165
2022-05-16,256000,258500,239500,241000,304344
2022-05-17,241500,245500,239500,240000,179189
2022-05-18,242000,248000,240500,247500,184124
2022-05-19,240500,241000,236000,237000,238251
2022-05-20,237500,256000,237500,256000,324746
2022-05-23,255000,259000,253000,256500,118636
2022-05-24,252500,258000,247500,247500,154928
2022-05-25,251500,258500,249000,257000,176409
2022-05-26,256000,264500,254500,255000,204563
2022-05-27,261000,261000,249000,249000,896244
2022-05-30,254000,260500,252500,259000,173129
2022-05-31,258500,262000,256500,259500,393292
2022-06-02,256500,261000,249500,250000,201849
2022-06-03,253500,254500,250500,253000,126332
2022-06-07,256500,269500,256500,268500,418115
2022-06-08,269000,276000,266500,271500,280507
2022-06-09,270000,280000,269000,276500,469081
2022-06-10,273500,278500,268000,274000,180186
